部件名称 (Part Name),出现角色数 (Count),覆盖率 (Coverage)
L_Wristband,1,0.25%
L_High_Light,1,0.25%
C_Ball,1,0.25%
Jewelry,1,0.25%
C_Card,1,0.25%
C_Ball_HighLight,1,0.25%
C_Pencil,1,0.25%
SketchBook,1,0.25%
L_Lollipop,1,0.25%
Rua,1,0.25%
Ribbon_Black,1,0.25%
L_Eye_Chira,1,0.25%
R_Eye_Chira,1,0.25%
Ribbon_Red,1,0.25%
L_Finger_Fist_SP,1,0.25%
L_Antenna,1,0.25%
Ribbon_Black_II,1,0.25%
Controller,1,0.25%
R_Antenna,1,0.25%
hairpin,1,0.25%
bow,1,0.25%
body,1,0.25%
satchel,1,0.25%
L_Arm_Band,1,0.25%
R_Sleeeve,1,0.25%
C_Hair1,1,0.25%
C_Skirt,1,0.25%
C_Mouths1,1,0.25%
L_Eye3,1,0.25%
R_Eye7,1,0.25%
C_Liu,1,0.25%
L_Downarm,1,0.25%
R_Lefthand,1,0.25%
R_Eye3,1,0.25%
C_Mouths2,1,0.25%
L_Eye7,1,0.25%
C_Furcollar,1,0.25%
L_Smallleg,1,0.25%
C_Leftbutton,1,0.25%
R_Bigleg,1,0.25%
L_Eyebrow1,1,0.25%
L_Eyebrow2,1,0.25%
C_Hair2,1,0.25%
C_Chest,1,0.25%
R_Eyebrow1,1,0.25%
C_Stayhair,1,0.25%
R_Eye8,1,0.25%
R_Smallleg,1,0.25%
L_Fronthair,1,0.25%
R_Liu,1,0.25%
L_Eye8,1,0.25%
R_Uparm,1,0.25%
C_Mouths,1,0.25%
L_Finger6,1,0.25%
L_Finger7,1,0.25%
L_Bigleg,1,0.25%
C_Certificates,1,0.25%
L_Uparm,1,0.25%
C_Glasses,1,0.25%
R_Finger6,1,0.25%
C_Angry,1,0.25%
R_Eyebrow2,1,0.25%
R_RingFinger,1,0.25%
L_RingFinger,1,0.25%
L_TailFinger,1,0.25%
R_IndexFinger,1,0.25%
L_Eye_Happy_Off,1,0.25%
R_TailFinger,1,0.25%
R_Eye_Happy_Off,1,0.25%
L_IndexFinger,1,0.25%
L_MiddleFinger,1,0.25%
R_MiddleFinger,1,0.25%
L_Hand_A2,1,0.25%
weijing,1,0.25%
L_toufaq6,1,0.25%
L_toufaq3,1,0.25%
mei,1,0.25%
R_shou7,1,0.25%
L_shou3,1,0.25%
L_toufaq2,1,0.25%
L_zuodatui,1,0.25%
R_shou1,1,0.25%
R_youyiling,1,0.25%
L_shou2,1,0.25%
R_shou8,1,0.25%
L_zuojiao,1,0.25%
R_shou6,1,0.25%
L_zuoyiling,1,0.25%
L_zuowaitao,1,0.25%
L_toufaq4,1,0.25%
L_shou1,1,0.25%
R_shou2,1,0.25%
L_toufaq1,1,0.25%
L_shou5,1,0.25%
R_shou3,1,0.25%
pidai,1,0.25%
L_shou6,1,0.25%
zui,1,0.25%
R_shou5,1,0.25%
L_shou7,1,0.25%
L_zuoxie,1,0.25%
toufa3,1,0.25%
L_toufaq5,1,0.25%
R_shou4,1,0.25%
R_youjiao,1,0.25%
R_youjiaohou,1,0.25%
L_shou4,1,0.25%
scarf,1,0.25%
R_hron,1,0.25%
hari,1,0.25%
L_hron,1,0.25%
goggles,1,0.25%
Sword_Release,1,0.25%
Horn_SP,1,0.25%
L_Hand_Katana,1,0.25%
Bandage_IIa,1,0.25%
Bandage_IIIa,1,0.25%
Crystal,1,0.25%
Bandage_IIb,1,0.25%
Bandage_SP,1,0.25%
L_Finger_Katana,1,0.25%
Bandage_IV,1,0.25%
Bandage_IIIb,1,0.25%
mouth_mouth,1,0.25%
arm,1,0.25%
sleeve,1,0.25%
L_eye_cloese,1,0.25%
C_FootRing,1,0.25%
angry,1,0.25%
L_shawl,1,0.25%
certificates,1,0.25%
pipe,1,0.25%
cloth,1,0.25%
Cry,1,0.25%
Stun,1,0.25%
R_shawl,1,0.25%
OilTank,1,0.25%
Coat_Collar_Lb,1,0.25%
R_Hand_Cb,1,0.25%
Coat_L_Collar,1,0.25%
R_U_Eyelash,1,0.25%
R_Hand_Ad,1,0.25%
L_U_Eyelash,1,0.25%
L_D_Eyelash,1,0.25%
R_Hand_Ca,1,0.25%
R_Hand_Ac,1,0.25%
Weapon_Effect,1,0.25%
R_Hand_Aa,1,0.25%
R_D_Eyelash,1,0.25%
Coat_R_Collar,1,0.25%
R_Hand_Ab,1,0.25%
Antler,1,0.25%
Mouth_Happy1,1,0.25%
Mouth_Happy2,1,0.25%
R_Fingrer5,1,0.25%
R_Eyebrow_Sorrow,1,0.25%
R_EX_Finger,1,0.25%
Hair_FL,1,0.25%
Hair_R2,1,0.25%
Hair_R1,1,0.25%
L_EX_Finger,1,0.25%
R_EX_Hand,1,0.25%
C_Chains,1,0.25%
L_EX_Hand,1,0.25%
Hair_FR,1,0.25%
hem,1,0.25%
R_hem,1,0.25%
shawl,1,0.25%
L_hem,1,0.25%
Eye_Brow,1,0.25%
L_palm_hold,1,0.25%
braid,1,0.25%
arrow,1,0.25%
R_ear_human,1,0.25%
R_eyeborw,1,0.25%
L_fingers_hold,1,0.25%
R_hand_hold,1,0.25%
White,1,0.25%
Weapon_Streamer,1,0.25%
L_Arn,1,0.25%
Material,1,0.25%
R_Hand Armour,1,0.25%
L_Dev,1,0.25%
R_Dev,1,0.25%
L_Blue Pipe,1,0.25%
R_Blue Pipe,1,0.25%
L_Hand Armour,1,0.25%
Fx_Sp,1,0.25%
Hand_Sp,1,0.25%
C_Fx,1,0.25%
SKILL3,1,0.25%
R_CollarA,1,0.25%
HairA,1,0.25%
AppleRope,1,0.25%
C_L_Laser,1,0.25%
Ahoge_SP,1,0.25%
R_CollarB,1,0.25%
C_FlagB,1,0.25%
Apple,1,0.25%
C_Flagpole,1,0.25%
L_CollarA,1,0.25%
C_FlagA,1,0.25%
BeltD,1,0.25%
C_R_Laser,1,0.25%
C_FlagC,1,0.25%
L_HairD,1,0.25%
L_CollarB,1,0.25%
Sillyhair,1,0.25%
Eye_Shadow,1,0.25%
Ankle_Guard,1,0.25%
L_Pattern,1,0.25%
R_Calf_Annex,1,0.25%
R_Pattern,1,0.25%
R_Interphone,1,0.25%
L_Arm_Patch,1,0.25%
Rectrix,1,0.25%
L_Hammer,1,0.25%
L_Hairwear,1,0.25%
L_toufa,1,0.25%
R_Rec,1,0.25%
Tiejia,1,0.25%
face,1,0.25%
R_Shangb,1,0.25%
R_eye2,1,0.25%
L_ShangB,1,0.25%
Maozibh,1,0.25%
L_eye1,1,0.25%
L_Xiab,1,0.25%
Backpack,1,0.25%
Tiequan,1,0.25%
Xiasheng,1,0.25%
Guandao,1,0.25%
Shizijia,1,0.25%
Tiejiaxia,1,0.25%
Xuedai,1,0.25%
Shangti,1,0.25%
Beimian,1,0.25%
L_Shouwo,1,0.25%
Bird_L_Leg,1,0.25%
L_Forearm_Back,1,0.25%
Bird_R_Leg,1,0.25%
Poncho,1,0.25%
C_weapon,1,0.25%
B_clothes,1,0.25%
brim,1,0.25%
liu,1,0.25%
C_belt,1,0.25%
stomach,1,0.25%
C_tail,1,0.25%
pants,1,0.25%
ornament,1,0.25%
C_rope,1,0.25%
C_hook,1,0.25%
Hair Ring,1,0.25%
C_Lamp,1,0.25%
R_bandage,1,0.25%
L_tape_short,1,0.25%
R_tape_short,1,0.25%
headset,1,0.25%
R_ornaments,1,0.25%
L_headset,1,0.25%
C_Plant,1,0.25%
C_Test_Tube,1,0.25%
L_Top_Hair,1,0.25%
Front_Belt,1,0.25%
R_Top_Hair,1,0.25%
Back_Belt,1,0.25%
Yaobao4,1,0.25%
L_Xiezi2,1,0.25%
Yaobao3,1,0.25%
Liuhai1,1,0.25%
Yaobao2,1,0.25%
R_Xiaotui99,1,0.25%
Liuhai3,1,0.25%
Toufah,1,0.25%
Liuhai4,1,0.25%
Liuhai7,1,0.25%
Kua1,1,0.25%
Weiba2,1,0.25%
L_Lvdai,1,0.25%
Erduo2,1,0.25%
Liuhai2,1,0.25%
Liuhai9,1,0.25%
Liuhai6,1,0.25%
Erduo1,1,0.25%
Yaobao5,1,0.25%
Liuhai8,1,0.25%
Yaobao1,1,0.25%
Liuhai5,1,0.25%
XTail_II,1,0.25%
GasMask,1,0.25%
XTail,1,0.25%
Moustache,1,0.25%
XTail_III,1,0.25%
F_Hat,1,0.25%
R_Eye_Shadow,1,0.25%
L_Eye_Shadow,1,0.25%
TapeB,1,0.25%
PageC,1,0.25%
TapeC,1,0.25%
TapeA,1,0.25%
L_Hand_Book,1,0.25%
Stove,1,0.25%
C_Angry_Mark,1,0.25%
R_String,1,0.25%
Meat,1,0.25%
Coat_L_Belt_II,1,0.25%
Coat_L_Belt,1,0.25%
Coat_R_Belt,1,0.25%
Flush,1,0.25%
Coat_R_Belt_III,1,0.25%
Collar_L_Rope,1,0.25%
Collar_L_Bow,1,0.25%
Collar_L_Rope_II,1,0.25%
Coat_R_Belt_II,1,0.25%
Collar_L_Badge,1,0.25%
L_Foearm,1,0.25%
Pupil,1,0.25%
Collar_L_Bow_Tape,1,0.25%
L_Fingers_I2,1,0.25%
L_Fingers_II2,1,0.25%
B_Scarf,1,0.25%
Hair Band,1,0.25%
F_Scarf,1,0.25%
R_Belt_Clip,1,0.25%
Eyebrows,1,0.25%
L_Belt_Clip,1,0.25%
Coronal,1,0.25%
C_D_Hand,1,0.25%
Band_Black,1,0.25%
Staff,1,0.25%
Lance,1,0.25%
WeaponBox,1,0.25%
Scabbard_Knife,1,0.25%
L_Makeup,1,0.25%
BoxBelt_Brown_II,1,0.25%
Band_White,1,0.25%
BoxBelt_Yellow,1,0.25%
L_Band,1,0.25%
Band_Yellow,1,0.25%
R_Makeup,1,0.25%
Scabbard_Sword,1,0.25%
Knife_III,1,0.25%
Axe,1,0.25%
BoxBelt_Brown,1,0.25%
LanceHinge,1,0.25%
LanceHinge_II,1,0.25%
Face_Mi,1,0.25%
Face_Default_ha,1,0.25%
Face_Default_aa,1,0.25%
C_Gourd,1,0.25%
C_Lantern,1,0.25%
Shaodw,1,0.25%
L_Froearm_Bb,1,0.25%
R_Arm_Da,1,0.25%
R_Arm_Dc,1,0.25%
T_Tape,1,0.25%
L_Froearm_Cb,1,0.25%
L_Hron,1,0.25%
L_C_Hand_Bb,1,0.25%
R_Froearm_Bb,1,0.25%
R_Hron,1,0.25%
T_Blade,1,0.25%
L_O_Hand_Ab,1,0.25%
W_Tape_F_II,1,0.25%
R_Arm_Db,1,0.25%
W_Tape_F_III,1,0.25%
H_Tail,1,0.25%
R_C_Hand_Bb,1,0.25%
L_Eyewhtie,1,0.25%
W_Tape,1,0.25%
T,1,0.25%
W_Tape_F_IV,1,0.25%
L_C_Hand_Cb,1,0.25%
Dragon_Long,1,0.25%
Hair_8b,1,0.25%
L_Tears,1,0.25%
R_Tears,1,0.25%
R_Forearm_1a,1,0.25%
L_Pant,1,0.25%
Tail_Fire,1,0.25%
Dun,1,0.25%
HairStick,1,0.25%
R_Arm_B_II_IN,1,0.25%
C_Sit_L_Arm,1,0.25%
C_Sit_L_Leg,1,0.25%
R_Leg_Cloth,1,0.25%
L_Coat_Tape,1,0.25%
R_EyeClosed_lash,1,0.25%
R_Arm_IN,1,0.25%
C_Sit_Tail,1,0.25%
Cloth_IN,1,0.25%
Coat_IN,1,0.25%
C_L_Foot,1,0.25%
C_Chess_Black,1,0.25%
L_EyeClosed_lash,1,0.25%
C_R_Foot,1,0.25%
Belt_Cloth,1,0.25%
C_Sit_R_Arm,1,0.25%
L_Leg_Cloth,1,0.25%
C_R_Arm,1,0.25%
C_Fur,1,0.25%
C_Sit_Body,1,0.25%
R_Eyeball_IN,1,0.25%
C_L_Paint,1,0.25%
Hair_IN,1,0.25%
Hair_IN_II,1,0.25%
Tail_Fur,1,0.25%
C_L_F_Paint,1,0.25%
L_Arm_B_II,1,0.25%
R_Fur_Side,1,0.25%
R_Hand_Ring_Tape,1,0.25%
Weapon_Ring_Tape,1,0.25%
C_L_Arm,1,0.25%
R_Bang_IN,1,0.25%
R_Arm_B_II,1,0.25%
Hair_Knot,1,0.25%
C_Chess_White,1,0.25%
Pinhead,1,0.25%
L_Horn_Down,1,0.25%
L_Wrap,1,0.25%
Sling,1,0.25%
R_Horn_Down,1,0.25%
xian,1,0.25%
gong,1,0.25%
er1,1,0.25%
L_dadoupeng,1,0.25%
R_shouzh4,1,0.25%
bihuan,1,0.25%
R_shouzh7,1,0.25%
er2,1,0.25%
toumingjian,1,0.25%
L_shouzhi8,1,0.25%
youqiangfa,1,0.25%
mawei,1,0.25%
xiedaidi,1,0.25%
weibo,1,0.25%
R_shouzh8,1,0.25%
R_shouzh6,1,0.25%
R_shouzh5,1,0.25%
dazioi2,1,0.25%
L_shouzhi7,1,0.25%
R_shouzh3,1,0.25%
xiaotui,1,0.25%
R_daizi1,1,0.25%
R_daizi2,1,0.25%
datui,1,0.25%
jiantong,1,0.25%
dazioi1,1,0.25%
doupeng,1,0.25%
jian,1,0.25%
R_shouzh2,1,0.25%
xie,1,0.25%
doupeng23,1,0.25%
Feather_Ra,1,0.25%
Finger_Ld,1,0.25%
Ice,1,0.25%
AhoHairb,1,0.25%
Finger_Ra,1,0.25%
Finger_La,1,0.25%
Finger_Re,1,0.25%
Finger_Lb,1,0.25%
Kneep,1,0.25%
Feather_Rb,1,0.25%
Weapon_Cc,1,0.25%
Kneep_Rb,1,0.25%
Finger_Lc,1,0.25%
Feather_La,1,0.25%
Feather_Lc,1,0.25%
AhoHaira,1,0.25%
Hit,1,0.25%
Finger_Rd,1,0.25%
Finger_Le,1,0.25%
Weapon_Cd,1,0.25%
Finger_Rb,1,0.25%
Feather_Lb,1,0.25%
Kneep_Ra,1,0.25%
Finger_Rc,1,0.25%
Shouzhang,1,0.25%
L_Daizi,1,0.25%
R_Youlindai,1,0.25%
Shouzhi,1,0.25%
L_Erduo,1,0.25%
Xiabi,1,0.25%
Shangbi,1,0.25%
XIi,1,0.25%
Xiedai,1,0.25%
Toufa3,1,0.25%
Toufa2,1,0.25%
Bijing,1,0.25%
Youer,1,0.25%
R_Daozi,1,0.25%
L_Shouzhi7,1,0.25%
Meimao,1,0.25%
Zuobeitoufa,1,0.25%
L_Xb,1,0.25%
L_Erjizuo,1,0.25%
L_Shou7,1,0.25%
L_Xinshou3,1,0.25%
L_Xiedai,1,0.25%
L_Changdai,1,0.25%
R_Xie1,1,0.25%
L_Shou6,1,0.25%
L_Zuodaizi,1,0.25%
L_Xxiaobi2,1,0.25%
R_Youdaizi,1,0.25%
L_Zuoer,1,0.25%
R_Shou5,1,0.25%
Zuomaozi,1,0.25%
R_Shou6,1,0.25%
L_Xxiaobi,1,0.25%
L_Sbi,1,0.25%
R_Xinshou1,1,0.25%
Guanghuan,1,0.25%
L_Xinshou2,1,0.25%
R_Shou7,1,0.25%
L_Shou3,1,0.25%
R_Shou8,1,0.25%
Tougfad,1,0.25%
R_Dabi1,1,0.25%
L_Shou2,1,0.25%
R_Bao,1,0.25%
L_Shou4,1,0.25%
L_Bao,1,0.25%
Bdd,1,0.25%
L_Erjiyou,1,0.25%
L_Shou5,1,0.25%
L_Xdabi,1,0.25%
L_Xxinshou1,1,0.25%
L_shou,1,0.25%
R_tingzhengqi,1,0.25%
L_yao,1,0.25%
R_youer,1,0.25%
xiedai,1,0.25%
meimao,1,0.25%
L_zuotoufa,1,0.25%
beibutoufa,1,0.25%
L_zonglingbei,1,0.25%
R_yixiu,1,0.25%
bendaishou2,1,0.25%
ligndai,1,0.25%
L_waitao,1,0.25%
L_yixiu,1,0.25%
L_zuomaozi,1,0.25%
R_maozi,1,0.25%
L_zuoqianfa,1,0.25%
R_waitao,1,0.25%
R_zonglin,1,0.25%
bendai,1,0.25%
L_guasheng,1,0.25%
L_lvling,1,0.25%
R_yiling,1,0.25%
bendaishou1,1,0.25%
R_xiabai,1,0.25%
R_shouzhi2,1,0.25%
maozibeihou,1,0.25%
L_tingzhengqi,1,0.25%
R_shouzhang1,1,0.25%
R_shouzhang2,1,0.25%
L_zuoer,1,0.25%
R_youliuhai,1,0.25%
L_zuozongling,1,0.25%
bao,1,0.25%
Weapon_Black,1,0.25%
HairBack,1,0.25%
Wand,1,0.25%
L_FingerSP,1,0.25%
C_Weapon_Black,1,0.25%
L_HandSP,1,0.25%
C_Weapon_White,1,0.25%
Weapon_White,1,0.25%
Hat_R_Button,1,0.25%
L_Gloves,1,0.25%
Cube_DL,1,0.25%
R_Gloves,1,0.25%
Coat_Ribbon,1,0.25%
Hair_RR,1,0.25%
L_Hand_Cube,1,0.25%
Cube_DR,1,0.25%
Mouth_A_On,1,0.25%
Cube_UR,1,0.25%
R_Hand_Cube,1,0.25%
Hair_LL,1,0.25%
Mouth_A_Off,1,0.25%
Cube,1,0.25%
Cube_UL,1,0.25%
R_Fingers_Cube,1,0.25%
Napkin,1,0.25%
L_Ponytail,1,0.25%
R_Ponytail,1,0.25%
L_Grenade,1,0.25%
Face_Lu,1,0.25%
R_Grenade,1,0.25%
Xindabi1,1,0.25%
Wuqi23,1,0.25%
Wuqi3,1,0.25%
Shengti,1,0.25%
R_Hudiejie,1,0.25%
R_Kua,1,0.25%
Xinshouzhi1,1,0.25%
Xinshou,1,0.25%
Wuqi2,1,0.25%
R_Youbifa,1,0.25%
R_Lian,1,0.25%
R_Daibi,1,0.25%
Guanzi,1,0.25%
Beidai,1,0.25%
Fadai1,1,0.25%
Kadai1,1,0.25%
L_Hudie,1,0.25%
L_Shouwo1,1,0.25%
Beidai1,1,0.25%
L_Biya1,1,0.25%
Xinxiabi,1,0.25%
L_Zuokihai,1,0.25%
L_Zuojioa,1,0.25%
Xindabi,1,0.25%
R_Youlihhai,1,0.25%
Waitao,1,0.25%
Fadai2,1,0.25%
Xinxiao2,1,0.25%
R_Chawl,1,0.25%
L_Shawl_Tail,1,0.25%
L_Shawl_Tail_II,1,0.25%
R_Shawl_Tail,1,0.25%
Dart,1,0.25%
R_BlackCoat,1,0.25%
L_BlackCoat,1,0.25%
R_SleeveB,1,0.25%
DecoA,1,0.25%
Gun_II,1,0.25%
Eye_Closed,1,0.25%
Taser,1,0.25%
DecoB,1,0.25%
R_Cloth_II,1,0.25%
L_Instrument,1,0.25%
Tube_II,1,0.25%
R_Tape_II,1,0.25%
R_Wrench,1,0.25%
L_Eyebrow_Gosh,1,0.25%
ID card,1,0.25%
Microphone,1,0.25%
youqianfa,1,0.25%
youer,1,0.25%
zhengyan,1,0.25%
R_zhouzhi3,1,0.25%
xiaodao,1,0.25%
touda1,1,0.25%
zuoerhudiejie,1,0.25%
R_zhouzhi1,1,0.25%
beitoufa,1,0.25%
shengzi,1,0.25%
hudiejie,1,0.25%
shoulei,1,0.25%
R_xiedai,1,0.25%
L_xiedai,1,0.25%
toudingfa,1,0.25%
huangdai,1,0.25%
zuoer,1,0.25%
xiadai,1,0.25%
R_zhouzhi2,1,0.25%
shangdai,1,0.25%
zhengjian,1,0.25%
gou,1,0.25%
erduo2,1,0.25%
dao2,1,0.25%
toufa9,1,0.25%
s1,1,0.25%
zuoyiling,1,0.25%
toufa10,1,0.25%
kouzi,1,0.25%
erduo1,1,0.25%
youyiling,1,0.25%
s2,1,0.25%
toufa6,1,0.25%
toufa8,1,0.25%
R_shouzhi7,1,0.25%
toufa7,1,0.25%
toufa23,1,0.25%
R_shouzhi10,1,0.25%
dao1,1,0.25%
R_shouzhi8,1,0.25%
C_AxeDecoration,1,0.25%
L_Eyebrow_Dizzy,1,0.25%
R_Eyebrow_Dizzy,1,0.25%
L_weapon_thumb,1,0.25%
ornaments_black,1,0.25%
R_fist,1,0.25%
L_fist,1,0.25%
mouth_teeth,1,0.25%
mohu2,1,0.25%
ornaments_red,1,0.25%
mohu5,1,0.25%
sunglasses,1,0.25%
L_weapon_pipe,1,0.25%
mohu1,1,0.25%
mohu6,1,0.25%
white,1,0.25%
mohu3,1,0.25%
L_weapon_fingers,1,0.25%
F-head,1,0.25%
mohu4,1,0.25%
B_Machine Center,1,0.25%
L_Spiale,1,0.25%
L_Control,1,0.25%
L_Machine Arm,1,0.25%
R_Machine Arm,1,0.25%
R_Spiale,1,0.25%
R_Control,1,0.25%
L_Eye_Shy,1,0.25%
R_Eye_Shy,1,0.25%
Mouth_Shy,1,0.25%
C_Yellow,1,0.25%
C_Red,1,0.25%
Hair_Mbb_Bangs,1,0.25%
W_Hand,1,0.25%
Hair_R_Bangs,1,0.25%
Hair_Ml_Bangs,1,0.25%
Shoulder_belt,1,0.25%
Eye_up,1,0.25%
W_Finger,1,0.25%
Hair_Mb_Bangs,1,0.25%
Mouth_F_II,1,0.25%
L_Finger_1_III,1,0.25%
L_Fingers_III,1,0.25%
L_Finger_1_II,1,0.25%
Plotter_Foot_R_II,1,0.25%
L_Brow_F_II,1,0.25%
Box_Cover_II,1,0.25%
Panels,1,0.25%
Box_Cover,1,0.25%
Plotter_Foot_L_II,1,0.25%
R_Thight,1,0.25%
Plotter,1,0.25%
R_Brow_F_II,1,0.25%
Plotter_Foot,1,0.25%
Eyebrow_L_Angry,1,0.25%
Eye_Mouth,1,0.25%
Board,1,0.25%
Eyebrow_R_Angry,1,0.25%
Um,1,0.25%
BL_Tail,1,0.25%
Wapon_Tail,1,0.25%
Cat_Mouth_Off,1,0.25%
Cat_R_Eye_Off,1,0.25%
Cat_F_Hip,1,0.25%
R_Tail_II_Angle,1,0.25%
Cat_F_Mouth_On,1,0.25%
Cat_R_Eye,1,0.25%
Scabbard_II,1,0.25%
Cat_Tail,1,0.25%
R_Tail_III,1,0.25%
Cat_F_Tail_II,1,0.25%
Cat_R_Sclera,1,0.25%
Cat_F_R_Eye,1,0.25%
R_Tail_II,1,0.25%
Cat_L_Eye_Off,1,0.25%
Cat_F_BL_Foot,1,0.25%
Cat_F_L_Eye,1,0.25%
Cat_Head,1,0.25%
Cat_F_Body,1,0.25%
Cat_F_Mouth_Off,1,0.25%
Cat_F_Head,1,0.25%
Cat_Body,1,0.25%
Cat_F_BR_Foot,1,0.25%
Cat_L_Foot,1,0.25%
Cat_Mouth_On,1,0.25%
Cat_F_FR_Foot,1,0.25%
Mask_II,1,0.25%
L_Tail_II,1,0.25%
Cat_Tail_II,1,0.25%
R_Tail_IV,1,0.25%
R_Tail_II_II,1,0.25%
Cat_F_L_Sclera,1,0.25%
Cat_L_Sclera,1,0.25%
Cat_F_R_Sclera,1,0.25%
Cat_L_Eye,1,0.25%
Cat_Hip,1,0.25%
Mask_Horn,1,0.25%
Cat_F_Neck,1,0.25%
Cat_R_Foot,1,0.25%
Cat_F_Tail,1,0.25%
Weapon_Bundle,1,0.25%
Cat_F_FL_Foot,1,0.25%
Cat_Neck,1,0.25%
Wing_R_II,1,0.25%
Skirt_R_Bow,1,0.25%
L_Foot_Ribbon,1,0.25%
Wing_L_II,1,0.25%
Head_Flower,1,0.25%
Wing_L_Cylinder,1,0.25%
Chest_Bow,1,0.25%
Skirt_L_Bow,1,0.25%
Chest_Ribbon,1,0.25%
Belt_R_II,1,0.25%
R_Foot_Ribbon,1,0.25%
Skirt_L_Bow_II,1,0.25%
Wing_L_Line,1,0.25%
Head_Feather,1,0.25%
Skirt_R_Bow_II,1,0.25%
Chest_Shawl,1,0.25%
Leash,1,0.25%
L_Eye_Sclera,1,0.25%
R_Eye_Sclera,1,0.25%
Weapon_Tail,1,0.25%
C_R_Knife,1,0.25%
C_L_Leg,1,0.25%
Doll_R_Hand,1,0.25%
C_L_Knife,1,0.25%
Doll_Tail,1,0.25%
PageU,1,0.25%
Doll_L_Hand,1,0.25%
PageDa,1,0.25%
C_R_Leg_SP,1,0.25%
C_R_Leg,1,0.25%
PageD,1,0.25%
Bow_LD,1,0.25%
R_Bow_RD,1,0.25%
Pendant_II,1,0.25%
Pendant_III,1,0.25%
R_Weye,1,0.25%
L_Weye,1,0.25%
R_Horn_II,1,0.25%
OverHead,1,0.25%
R_Squama,1,0.25%
L_Squama,1,0.25%
C_Weapon_Tail,1,0.25%
R_Cape,1,0.25%
Neck_Belt,1,0.25%
L_Cape,1,0.25%
L_Sleeve_II,1,0.25%
R_WaistAmror_II,1,0.25%
R_WaistAmror,1,0.25%
L_WaistArmor_IV,1,0.25%
L_WaistArmor_III,1,0.25%
L_WaistArmor_II,1,0.25%
ChestHair,1,0.25%
C_Surprised,1,0.25%
L_WaistArmor,1,0.25%
L_Cloak_arm,1,0.25%
B_Eye,1,0.25%
L_Temple_up,1,0.25%
R_Temple_down,1,0.25%
B_Eyeball,1,0.25%
L_Temple_down,1,0.25%
Sword_handle,1,0.25%
L_Hair_Down,1,0.25%
Hair_Back_Down,1,0.25%
L_Cloak_Back,1,0.25%
R_Temple_up,1,0.25%
C_Effects,1,0.25%
Crotch,1,0.25%
C_SashimiC,1,0.25%
HairFB,1,0.25%
C_DiscA,1,0.25%
C_DiscB,1,0.25%
HairFC,1,0.25%
C_Fish,1,0.25%
HairLA,1,0.25%
L_HatFur,1,0.25%
HairFA,1,0.25%
C_SashimiD,1,0.25%
C_SashimiB,1,0.25%
L_CoatDecoration,1,0.25%
C_SashimiA,1,0.25%
R_CoatDecoration,1,0.25%
R_HatFur,1,0.25%
ClockPipe,1,0.25%
Forearm_Gun,1,0.25%
FireExtinguisher,1,0.25%
Hand_Gun,1,0.25%
GunPipe,1,0.25%
Tie_tail,1,0.25%
R_Slssve,1,0.25%
Umbrella_Trail,1,0.25%
Bag_Tiny,1,0.25%
Tape_Belt,1,0.25%
C_Weapon_SP,1,0.25%
Tape_White,1,0.25%
Cloak_Orange,1,0.25%
Tape_Orange,1,0.25%
R_Braid_Tiny,1,0.25%
Eyebrow_Laugh,1,0.25%
Eye_Dizzy,1,0.25%
Eye_Laugh,1,0.25%
WhiteOfEye,1,0.25%
L_Braid_Tiny,1,0.25%
Hoot,1,0.25%
EyeMask,1,0.25%
Waitaoshangde,1,0.25%
Wuqinbao,1,0.25%
R_Shouzhang,1,0.25%
Touding,1,0.25%
L_Yao,1,0.25%
Qibeng,1,0.25%
L_Zuoqianfa,1,0.25%
R_Youqianfa,1,0.25%
L_Kua,1,0.25%
Qiang2,1,0.25%
R_Shizi,1,0.25%
R_Shouzhi2,1,0.25%
Skin_F_L_Hand_Fist,1,0.25%
L_FootFinger,1,0.25%
Skin_F_L_FingerD,1,0.25%
Skin_F_L_FingerC,1,0.25%
Skin_F_R_Hand_SP,1,0.25%
R_ArmBand,1,0.25%
Skin_F_Shield,1,0.25%
Skin_F_R_Hand,1,0.25%
R_FootFinger,1,0.25%
Skin_F_R_FingerD,1,0.25%
Skin_F_R_Hand_Fist,1,0.25%
Skin_F_R_FingerC,1,0.25%
C_Weapon_BlueB,1,0.25%
Skin_F_Hair,1,0.25%
Skin_F_R_FingerA,1,0.25%
Skin_F_T-Shirt,1,0.25%
Skin_F_L_FingerA,1,0.25%
Skin_F_L_Finger,1,0.25%
Skin_F_R_FingerB,1,0.25%
Skin_F_L_Hand,1,0.25%
C_Weapon_YellowB,1,0.25%
Shield_Tape,1,0.25%
Skin_F_L_FingerE,1,0.25%
Skin_F_R_FingerE,1,0.25%
Skin_F_L_FingerB,1,0.25%
C_Weapon_BlueA,1,0.25%
Skin_F_R_Finger,1,0.25%
C_Weapon_YellowA,1,0.25%
Radar,1,0.25%
Electricity,1,0.25%
Barrel_Back,1,0.25%
Top,1,0.25%
Zuojiao,1,0.25%
Yaodaiu,1,0.25%
Youxiafa2,1,0.25%
Youjiao33,1,0.25%
Dangbub,1,0.25%
Yaodaidai,1,0.25%
Youyijiao,1,0.25%
Zuobingjiao,1,0.25%
Yoixiaba1,1,0.25%
R_Changfa,1,0.25%
Daizizi,1,0.25%
R_Shouzhang2,1,0.25%
L_Jianjia,1,0.25%
L_Yixiuneili,1,0.25%
Youejiao,1,0.25%
R_Yixiuda,1,0.25%
